global_idx,sub_idx,frame_idx,name,top_sc_px,bot_sc_px,end_ed_px,sc_thickness_mm,ed_thickness_mm,total_thickness_mm,surface_disp_mm
1,0,1,0_1,72.421875,79.462890625,114.1650390625,0.035205078125,0.1735107421875,0.2087158203125,0
2,0,2,0_2,73.427734375,79.462890625,113.1591796875,0.03017578125,0.1684814453125,0.1986572265625,0.005029296875
3,0,3,0_3,73.427734375,80.46875,111.1474609375,0.035205078125,0.1533935546875,0.1885986328125,0.005029296875
4,0,4,0_4,72.9248046875,79.462890625,111.650390625,0.0326904296875,0.1609375,0.1936279296875,0.0025146484375
5,0,5,0_5,72.421875,78.9599609375,114.1650390625,0.0326904296875,0.176025390625,0.2087158203125,0
6,0,6,0_6,72.421875,78.45703125,113.662109375,0.03017578125,0.176025390625,0.206201171875,0
7,0,7,0_7,72.421875,78.45703125,115.1708984375,0.03017578125,0.1835693359375,0.2137451171875,0
8,0,8,0_8,72.421875,79.462890625,115.1708984375,0.035205078125,0.1785400390625,0.2137451171875,0
9,0,9,0_9,72.421875,79.462890625,112.65625,0.035205078125,0.165966796875,0.201171875,0
10,0,10,0_10,72.421875,79.462890625,111.650390625,0.035205078125,0.1609375,0.196142578125,0
11,0,11,0_11,72.421875,78.45703125,113.1591796875,0.03017578125,0.1735107421875,0.2036865234375,0
12,0,12,0_12,72.9248046875,78.9599609375,114.66796875,0.03017578125,0.1785400390625,0.2087158203125,0.0025146484375
13,0,13,0_13,72.9248046875,78.45703125,114.1650390625,0.0276611328125,0.1785400390625,0.206201171875,0.0025146484375
14,0,14,0_14,72.9248046875,78.9599609375,113.1591796875,0.03017578125,0.17099609375,0.201171875,0.0025146484375
15,0,15,0_15,72.421875,78.9599609375,115.673828125,0.0326904296875,0.1835693359375,0.216259765625,0
16,0,16,0_16,72.421875,78.45703125,113.1591796875,0.03017578125,0.1735107421875,0.2036865234375,0
17,0,17,0_17,72.421875,78.9599609375,116.1767578125,0.0326904296875,0.186083984375,0.2187744140625,0
18,0,18,0_18,73.427734375,79.462890625,114.1650390625,0.03017578125,0.1735107421875,0.2036865234375,0.005029296875
